player,team_performance,offensive_performance,defensive_performance,date
TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,9,7,6,2021-08-11
TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,8,6,7,2021-08-23
TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,7,5,7,2021-09-26
TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,7,6,7,2020-06-20
TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,3,3,5,2020-06-27
TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,6,5,7,2020-07-03
TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,7,7,6,2020-07-11
TeamA-358603ef-b3a3-46b5-b80a-ad64e06b6592,6,6,5,2021-08-18
TeamA-358603ef-b3a3-46b5-b80a-ad64e06b6592,5,1,3,2021-08-21
TeamA-358603ef-b3a3-46b5-b80a-ad64e06b6592,6,5,5,2021-09-12
TeamA-358603ef-b3a3-46b5-b80a-ad64e06b6592,5,4,4,2021-09-25
TeamA-358603ef-b3a3-46b5-b80a-ad64e06b6592,6,5,4,2021-10-09
TeamA-358603ef-b3a3-46b5-b80a-ad64e06b6592,6,4,4,2021-10-13
TeamA-4051bba7-1170-4c43-b912-8c38815a7625,6,7,7,2021-08-18
TeamA-4051bba7-1170-4c43-b912-8c38815a7625,6,7,7,2021-08-21
TeamA-4051bba7-1170-4c43-b912-8c38815a7625,5,7,7,2021-08-28
TeamA-4051bba7-1170-4c43-b912-8c38815a7625,5,5,6,2021-09-04
TeamA-4051bba7-1170-4c43-b912-8c38815a7625,4,6,8,2021-09-25
TeamA-4051bba7-1170-4c43-b912-8c38815a7625,2,5,3,2021-10-02
TeamA-4051bba7-1170-4c43-b912-8c38815a7625,9,7,7,2021-10-09
TeamA-4051bba7-1170-4c43-b912-8c38815a7625,7,7,7,2021-10-13
TeamA-4051bba7-1170-4c43-b912-8c38815a7625,6,6,7,2021-10-16
TeamA-4051bba7-1170-4c43-b912-8c38815a7625,6,7,6,2021-11-07
TeamA-4051bba7-1170-4c43-b912-8c38815a7625,6,6,5,2021-11-13
TeamA-560cb066-a8ae-412f-b09f-0d2a6aa0cf05,6,6,7,2021-08-25
TeamA-560cb066-a8ae-412f-b09f-0d2a6aa0cf05,5,4,5,2021-08-28
TeamA-560cb066-a8ae-412f-b09f-0d2a6aa0cf05,7,5,5,2021-09-04
TeamA-560cb066-a8ae-412f-b09f-0d2a6aa0cf05,7,5,7,2021-09-12
TeamA-5a3be598-2f51-426f-95a5-b63d1d7c1b43,7,8,7,2021-08-22
TeamA-5a3be598-2f51-426f-95a5-b63d1d7c1b43,7,7,7,2021-08-25
TeamA-5a3be598-2f51-426f-95a5-b63d1d7c1b43,7,6,6,2021-08-28
TeamA-5a3be598-2f51-426f-95a5-b63d1d7c1b43,7,7,7,2021-09-04
TeamA-5a3be598-2f51-426f-95a5-b63d1d7c1b43,7,7,7,2021-09-25
TeamA-5a3be598-2f51-426f-95a5-b63d1d7c1b43,3,5,4,2021-10-02
TeamA-5a3be598-2f51-426f-95a5-b63d1d7c1b43,10,7,5,2021-10-09
TeamA-5a3be598-2f51-426f-95a5-b63d1d7c1b43,7,6,6,2021-10-16
TeamA-5cd7a61b-88b2-46d2-94f8-5a0d4f682d93,7,4,5,2021-04-17
TeamA-5cd7a61b-88b2-46d2-94f8-5a0d4f682d93,6,5,6,2021-08-22
TeamA-5cd7a61b-88b2-46d2-94f8-5a0d4f682d93,6,5,6,2021-08-25
TeamA-5cd7a61b-88b2-46d2-94f8-5a0d4f682d93,6,3,5,2021-09-26
TeamA-5cd7a61b-88b2-46d2-94f8-5a0d4f682d93,7,4,5,2021-10-03
TeamA-5cd7a61b-88b2-46d2-94f8-5a0d4f682d93,6,4,5,2021-10-09
TeamA-5cd7a61b-88b2-46d2-94f8-5a0d4f682d93,7,4,6,2021-10-16
TeamA-5cd7a61b-88b2-46d2-94f8-5a0d4f682d93,5,4,4,2021-11-07
