date,player,sleep_duration
2021-06-09,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,8.5
2021-06-10,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,9.0
2021-06-11,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,8.0
2021-06-12,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,8.0
2021-06-13,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,8.5
2021-06-14,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,8.5
2021-06-15,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,8.0
2021-06-16,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,9.0
2021-06-17,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,6.0
2021-06-18,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,9.0
2021-06-19,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,9.0
2021-06-20,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,8.0
2021-06-21,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,9.0
2021-06-22,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,8.5
2021-06-23,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,8.0
2021-06-24,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,9.0
2021-06-25,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,8.5
2021-06-26,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,8.0
2021-06-27,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,7.0
2021-06-28,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,8.0
2021-06-29,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,8.0
2021-06-30,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,9.0
2021-07-01,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,8.5
2021-07-02,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,8.5
2021-07-03,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,8.5
2021-07-04,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,9.0
2021-07-05,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,7.5
2021-07-06,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,9.0
2021-07-07,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,10.0
2021-07-08,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,9.0
2021-07-09,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,8.0
2021-07-10,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,9.0
2021-07-11,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,9.0
2021-07-12,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,6.0
2021-07-13,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,8.0
2021-07-14,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,9.0
2021-07-15,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,9.0
2021-07-16,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,8.5
2021-07-17,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,8.5
2021-07-18,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,6.0
2021-07-19,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,9.0
2021-07-20,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,9.0
2021-07-21,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,8.5
2021-07-22,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,8.0
2021-07-23,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,8.0
2021-07-24,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,9.0
2021-07-25,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,8.5
2021-07-26,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,8.5
2021-07-27,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,8.0
2021-07-28,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,7.5
2021-07-29,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,8.5
2021-07-31,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,4.0
2021-08-01,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,9.0
2021-08-02,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,9.0
2021-08-03,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,8.5
2021-08-04,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,8.0
2021-08-05,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,8.5
2021-08-06,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,9.0
2021-08-07,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,9.0
2021-08-08,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,7.0
2021-08-09,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,8.0
2021-08-10,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,8.5
2021-08-11,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,12.0
2021-08-12,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,9.0
2021-08-13,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,8.5
2021-08-14,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,8.5
2021-08-15,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,8.5
2021-08-16,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,8.5
2021-08-17,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,8.5
2021-08-18,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,8.5
2021-08-19,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,8.5
2021-08-20,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,7.5
2021-08-21,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,8.5
2021-08-22,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,10.0
2021-08-23,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,10.0
2021-08-24,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,8.5
2021-08-25,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,9.0
2021-08-26,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,9.0
2021-08-27,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,7.5
2021-08-28,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,8.5
2021-08-29,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,8.5
2021-08-30,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,10.0
2021-08-31,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,8.5
2021-09-01,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,8.5
2021-09-02,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,8.5
2021-09-03,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,8.5
2021-09-04,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,8.0
2021-09-05,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,9.0
2021-09-06,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,11.0
2021-09-07,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,8.5
2021-09-08,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,8.5
2021-09-09,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,8.0
2021-09-10,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,9.0
2021-09-11,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,9.0
2021-09-12,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,8.5
2021-09-13,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,9.0
2021-09-14,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,8.5
2021-09-15,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,8.0
2021-09-16,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,9.0
2021-09-17,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,9.0
2021-09-18,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,9.0
2021-09-19,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,8.5
2021-09-20,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,9.0
2021-09-21,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,8.5
2021-09-22,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,8.5
2021-09-23,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,9.0
2021-09-24,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,8.5
2021-09-25,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,8.5
2021-09-27,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,8.5
2021-09-28,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,8.5
2021-09-29,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,8.0
2021-09-30,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,9.0
2021-10-01,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,6.0
2021-10-02,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,8.0
2021-10-03,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,9.0
2021-10-04,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,8.0
2021-10-05,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,8.5
2021-10-06,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,8.5
2021-10-08,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,8.5
2021-10-09,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,9.0
2021-10-10,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,8.5
2021-10-11,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,9.0
2021-10-12,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,9.0
2021-10-13,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,8.5
2021-10-14,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,10.0
2021-10-15,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,8.0
2021-10-16,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,8.5
2021-10-17,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,11.0
2021-10-18,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,11.0
2021-10-19,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,8.0
2021-10-20,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,8.5
2021-10-21,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,7.5
2021-10-22,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,8.0
2021-10-23,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,8.0
2021-10-24,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,11.0
2021-10-25,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,9.0
2021-10-26,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,8.5
2021-10-27,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,8.0
2021-10-29,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,11.0
2021-10-30,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,9.0
2021-10-31,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,9.0
2021-11-01,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,8.5
2021-11-02,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,8.5
2021-11-03,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,8.5
2021-11-04,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,9.0
2021-11-05,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,9.0
2021-11-06,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,8.5
